,File name,Name,text_clean,tag,nationality
14,Abu_Sulayman_Muhammad_al-Sijistani.txt,Abu Sulayman Muhammad al-Sijistani,called almantiqi named origin sijistan sistan province presentday eastern iran southern afghanistan leading persian islamic humanist baghdad,"['called', 'leading']",persian
15,Abu'l_Hasan_Muhammad_Ibn_Yusuf_al-'Amiri.txt,Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,muslim theologian arabian origin attempted reconcile religion sufism conventional islam alamiri believed revealed truth islam superior logical conclusion argued did contradict alamiri consistently sought area agreement synthesis disparate islamic sect believed islam morally superior religion notably zoroastrianism manicheism,['theologian'],arabian
16,Adam_Ferguson.txt,Adam Ferguson,known scottish historian scottish enlightenment,"['known', 'historian', 'scottish']",scottish
17,Adam_Smith.txt,Adam Smith,,[],
18,Adam_de_Wodeham.txt,Adam de Wodeham,adam wodeham stanford encyclopedia httpplatostanfordedu accessed 2019 february 12 ofm theologian currently wodeham best known having secretary william ockham interpretation john dun scotus despite associational fame wodeham influential thinker valuable philosophical contribution life,"['known', 'influential', 'philosophical', 'best', 'thinker', 'john']",
19,Adelard_of_Bath.txt,Adelard of Bath,12thcentury natural known original work translating important scientific work astrology astronomy alchemy mathematics latin version introduced western europe,"['known', 'important', 'scientific', 'latin', 'natural', 'mathematics', 'western']",latin
20,Adi_Shankara.txt,Adi Shankara,refngroupnotehe known adi shankaracharya shankara bhagavatpada spelled sankaracharya iast śaṅkarācārya iastśaṅkara bhagavatpāda iastśaṅkara bhagavatpādācārya refngroupnotemodern scholarship place shankara earlier 8th century ce sfncomans2000p163 earlier generation scholar proposed 788–820 cesfncomans2000p163 proposal 686–718 cecitation neededdatemarch 2013 44 bce work strong impact doctrine advaita vedantasfnsharma1962pvisfncomans2000p163 founded mathas believed helped historical development revival propagation advaita vedanta,"['known', 'century', 'founded', 'doctrine']",
21,Adolf_Grunbaum.txt,Adolf Grunbaum,germanamerican science critic psychoanalysis karl popper science andrew mellon professor university pittsburgh 1960 death served cochairman center science research professor psychiatry primary research professor department history science work include philosophical problem space time foundation psychoanalysis validation clinical theory psychoanalysis,"['university', 'professor', 'theory', 'science', 'philosophical', 'history', 'time', 'critic', 'research', 'served']",germanamerican
22,Adolf_Reinach.txt,Adolf Reinach,phenomenologist law theorist,['law'],german
23,Adolf_von_Harnack.txt,Adolf von Harnack,baltic lutheran theologian prominent church historian produced religious publication 1873 1912 ennobled 1914,"['theologian', 'church', 'prominent', 'religious']",german
24,Adolfo_Sánchez_Vázquez.txt,Adolfo Sánchez Vázquez,spanishborn mexican writer professor born algeciras andalucia,"['professor', 'writer', 'born']",spanishborn
25,Aenesidemus.txt,Aenesidemus,pyrrhonist born knossos island crete lived 1st century bc taught alexandria flourished shortly life cicero,"['century', 'born', 'life', 'taught', 'lived']",greek
26,Afrikan_Spir.txt,Afrikan Spir,spir african spir africano spir russian neokantian germangreek descent wrote primarily book denken und wirklichkeit exerted lasting impact writing friedrich nietzsche,"['book', 'wrote', 'russian']",german
27,Agostino_Nifo.txt,Agostino Nifo,commentator,[],italian
28,Agrippa_the_Sceptic.txt,Agrippa the Sceptic,pyrrhonist probably lived end 1st century ce regarded author trope agrippa purported establish necessity suspending judgment agrippa argument form basis agrippan trilemma,"['century', 'author', 'regarded', 'lived', 'form']",
29,Akos_Pauler.txt,Akos Pauler,hungarian,[],hungarian
30,Aksapada_Gautama.txt,Aksapada Gautama,,[],
31,Al-Farabi.txt,Al-Farabi,renowned early islamic jurist wrote field political metaphysics ethic logic scientist cosmologist mathematician music theorist,"['political', 'mathematician', 'early', 'wrote', 'jurist']",
32,Al-Ghazali.txt,Al-Ghazali,ālīy latinized algazelus algazel circa1058 – 19 december 1111 known persianspeaking country imam muhammadi ghazali persian polymath prominent influential theologian jurist logician mystic islam,"['known', 'influential', 'prominent', '–']",persian
33,Al-Juwayni.txt,Al-Juwayni,persian sunni shafii jurist mutakallim theologian commonly abbreviated aljuwayni commonly referred imam al haramayn meaning leading master holy city mecca medina,"['jurist', 'referred', 'commonly']",persian
34,Al-Kindi.txt,Al-Kindi,arab muslim polymath mathematician physician musician alkindi islamic peripatetic hailed father arab,['physician'],arab
35,Alain_Badiou.txt,Alain Badiou,born 17 january 1937 chair école normale supérieure founder faculty université paris viii gilles deleuze michel foucault jeanfrançois lyotard badiou written concept truth event subject way claim postmodern simply repetition modernity badiou involved number political organisation regularly comment political event badiou argues return communism political force,"['political', 'born', 'founder', 'written', 'number', 'paris']",french
36,Alain_LeRoy_Locke.txt,Alain LeRoy Locke,writer educator patron art distinguished 1907 africanamerican rhodes scholar locke known philosophical architect —the acknowledged dean— harlem renaissance frequently included listing influential african american march 19 1968 rev dr martin luther king jr proclaimed going let child know lived plato aristotle w e b du bois alain locke came universe,"['known', 'influential', 'philosophical', 'lived', 'plato']",american
37,Alan_Gewirth.txt,Alan Gewirth,professor university chicago author reason morality human right essay justification application community right selffulfillment numerous writing moral political,"['university', 'political', 'professor', 'author', 'moral', 'human']",american
38,Alan_R._White.txt,Alan R. White,analytic worked mainly epistemology mind legal peter hacker note skillful developer rylean idea philosophical psychology surpassed austin subtlety refinement discrimination grammatical difference white,"['philosophical', 'legal', 'worked', 'analytic']",
39,Alan_Ross_Anderson.txt,Alan Ross Anderson,logician professor yale university university pittsburgh,"['university', 'professor', 'logician']",american
40,Alan_Turing.txt,Alan Turing,mathematician computer scientist logician cryptanalyst theoretical biologist turing highly influential development theoretical computer science providing formalisation concept algorithm computation turing machine considered model generalpurpose computercite journal,"['influential', 'considered', 'development']",english
41,Alan_Watts.txt,Alan Watts,writer speaker known interpreting popularising buddhism taoism hinduism western audience born chislehurst england moved united state 1938 began zen training new york received master degree theology seaburywestern theological seminary episcopal priest 1945 left ministry 1950 moved california joined faculty academy asian study,"['known', 'writer', 'born', 'new', 'theology', 'united', 'priest', 'academy', 'western']",american
42,Alasdair_MacIntyre.txt,Alasdair MacIntyre,scottishamerican contributed moral political history theology macintyres virtue important work anglophone moral political 20th century senior research fellow centre contemporary aristotelian study ethic politics london metropolitan university emeritus professor university notre dame permanent senior distinguished research fellow notre dame center ethic culture lengthy academic career taught brandeis university duke university vanderbilt university boston university,"['university', 'political', 'professor', 'history', 'important', 'moral', 'taught', 'contemporary', 'academic', 'research', '20th', 'fellow', 'emeritus']",scottishamerican
43,Alastair_Hannay.txt,Alastair Hannay,professor emeritus university oslo educated edinburgh london studied j ayer bernard williams 1961 resident norway hannay written extensively writing søren kierkegaard book public examining role public audience political participant brings kierkegaardian insight bear contemporary political life hannay written novella pocket book philosophical theme memoir 2006 2020 member team translating kierkegaard complete journal notebook,"['university', 'political', 'professor', 'book', 'philosophical', 'member', 'contemporary', 'written', 'studied', 'emeritus']",
44,Albert_Camus.txt,Albert Camus,author journalist awarded 1957 nobel prize literature age 44 secondyoungest recipient history work include stranger plague myth sisyphus fall rebel,"['age', 'literature', 'prize']",french
45,Albert_Einstein.txt,Albert Einstein,germanborn theoretical physicist widely acknowledged greatest physicist time einstein best known developing theory relativity important contribution development theory quantum mechanic relativity quantum mechanic pillar modern physic mass–energy equivalence formula math1e mc2 arises relativity theory dubbed world famous equation work known influence science received 1921 nobel prize physic service theoretical physic especially discovery law photoelectric effect pivotal step development quantum theory intellectual achievement originality resulted einstein synonymous genius,"['known', 'work', 'theory', 'best', 'law', 'important', 'modern', 'intellectual', 'influence', 'development', 'widely', 'famous', 'greatest', 'prize']",
46,Albert_Schweitzer.txt,Albert Schweitzer,alsatian polymath theologian organist musicologist writer humanitarian physician lutheran schweitzer challenged secular view jesus depicted historicalcritical method current time traditional christian view contribution interpretation pauline christianity concern role paul mysticism christ primary doctrine justification faith secondary,"['christian', 'view', 'role', 'doctrine']",
47,Albert_Venn_Dicey.txt,Albert Venn Dicey,usually cited anbspv dicey british whig jurist constitutional theorist widely known author introduction study law constitution cite bookurlhttpsarchiveorgstreamlecturesintrodu03dicegoogpagen14mode2uptitlelectures introductory study law constitutionlastdiceyfirsta vpublishermacmillanyear1885edition1placelondonaccessdate5 april 2018viainternet archive cite bookurlhttpsarchiveorgstreamlawofconstitutio00diceialapagen5mode2uptitleintroduction study law constitutionlastdiceyfirsta vpublishermacmillanyear1915edition8placelondonaccessdate5 april 2018viainternet archive 8th edition 1915 dicey final revised edition 10th 1959 edited e c s wade,"['known', 'author', 'law', 'british', 'study', 'widely', 'jurist', 'cited', 'usually']",british
48,Albert_of_Saxony_(philosopher).txt,Albert of Saxony (philosopher),mathematician known contribution logic physic bishop halberstadt 1366 death,"['known', 'mathematician', 'logic', 'bishop']",german
49,Albertus_Magnus.txt,Albertus Magnus,known saint albert great albert cologne catholic dominican friar scientist bishop later canonised catholic saint known lifetime doctor universalis doctor expertus late life sobriquet magnus appended scholar james weisheipl joachim r söder referred greatest theologian middle age catholic church distinguishes 36 doctor church,"['known', 'theologian', 'later', 'catholic', 'church', 'greatest', 'referred', 'late']",german
50,Alcinous_(philosopher).txt,Alcinous (philosopher),middle platonist probably lived 2nd century ad known life author handbook platonism epitome middle platonism intended manual teacher time identified scholar 2nd century middle platonist albinus,"['known', 'century', 'author', 'lived']",
51,Alcmaeon_of_Croton.txt,Alcmaeon of Croton,early medical writer philosopherscientist described eminent natural medical theorist antiquity referred thinker considerable originality greatest naturalist neuroscientist time work biology described remarkable originality likely pioneer difficulty dating alcmaeons birth importance neglected,"['work', 'writer', 'early', 'thinker', 'natural', 'greatest', 'referred', 'described']",greek
52,Alejandro_Deustua.txt,Alejandro Deustua,peruvian educator statesman prime minister peru 9 august 1902 4 november 1902,['minister'],peruvian
53,Alejandro_Korn.txt,Alejandro Korn,argentine psychiatrist reformist politician eighteen year director psychiatry hospital melchor romero university official latin america elected thanks student vote considered pioneer argentine florentino ameghino juan vucetich almafuerte carlos spegazzini considered wise men la plata,"['university', 'considered', 'latin']",argentine
54,Aleksei_Losev.txt,Aleksei Losev,russian philologist culturologist prominent figure russian philosophical religious thought 20th century,"['philosophical', 'thought', 'russian', 'prominent', 'religious', '20th']",russian
55,Aleksei_N._Leontiev.txt,Aleksei N. Leontiev,soviet developmental psychologist founder activity theory,['founder'],soviet
56,Aleksey_Khomyakov.txt,Aleksey Khomyakov,1804 moscow – october 5 1860 moscow russian theologian poet amateur artist cofounded slavophile movement ivan kireyevsky distinguished theoretician,"['poet', 'movement', 'russian', '–']",russian
57,Alexander_Bain_(philosopher).txt,Alexander Bain (philosopher),scottish educationalist british school empiricism prominent innovative figure field psychology linguistics logic moral education reform founded mind journal psychology analytical leading figure establishing applying scientific method psychology bain inaugural regius chair logic professor logic university aberdeen held professorship moral literature twice elected lord rector university aberdeen,"['university', 'professor', 'school', 'figure', 'british', 'logic', 'leading', 'psychology', 'prominent', 'literature', 'moral', 'scientific', 'scottish', 'founded', 'held', 'education']",scottish
58,Alexander_Bogdanov.txt,Alexander Bogdanov,born russian later soviet physician science fiction writer bolshevik revolutionary,"['science', 'born', 'later', 'russian']",soviet
59,Alexander_Bryan_Johnson.txt,Alexander Bryan Johnson,banker,[],american
60,Alexander_Crummell.txt,Alexander Crummell,pioneering africanamerican minister academic african nationalist ordained episcopal priest united state crummell went england late 1840s raise money church lecturing slavery abolitionist supported year study cambridge university crummell developed concept panafricanism,"['study', 'church', 'united', 'priest', 'academic', 'developed', 'england', 'late', 'cambridge']",american
61,Alexander_Gerard.txt,Alexander Gerard,scottish minister academic philosophical writer 1764 moderator general assembly church scotland,"['philosophical', 'church', 'academic', 'scottish']",scottish
62,Alexander_Gottlieb_Baumgarten.txt,Alexander Gottlieb Baumgarten,brother theologian siegmund jakob baumgarten,['theologian'],german
63,Alexander_Herzen.txt,Alexander Herzen,russian writer thinker known father russian socialism main father agrarian populism populist party writing composed exiled london attempted influence situation russia contributing political climate led emancipation serf 1861 published important social novel blame autobiography past thought considered best example genre russian literature,"['known', 'political', 'writer', 'best', 'social', 'considered', 'important', 'influence', 'published', 'thinker', 'russian']",american
64,Alexander_Neckam.txt,Alexander Neckam,scholar teacher theologian abbot cirencester abbey 1213 deathcite encyclopedia,['theologian'],english
65,Alexander_Pfänder.txt,Alexander Pfänder,member munich phenomenological school,['member'],german
66,Alexander_Pope.txt,Alexander Pope,poet satirist augustan period greatest artistic exponent considered foremost poet early 18th century master heroic couplet best known satirical discursive poetry including rape lock dunciad essay criticism translation homer shakespeare secondmost quoted author oxford dictionary quotation verse having entered common parlance,"['known', 'century', 'best', 'author', 'considered', 'poet', 'early', 'oxford', 'including', 'greatest', 'period', 'essay']",english
67,Alexander_of_Aphrodisias.txt,Alexander of Aphrodisias,peripatetic celebrated ancient commentator writing aristotle native aphrodisia caria lived taught athens beginning 3rd century held position head peripatetic school wrote commentary work aristotle extant prior analytics topic meteorology sense sensibilia metaphysics original treatise survive include work fate argues stoic doctrine necessity soul commentary aristotle considered useful styled way preeminence commentator,"['work', 'considered', 'wrote', 'ancient', 'taught', 'lived', 'aristotle', 'held', 'doctrine', 'position']",greek
68,Alexander_of_Hales.txt,Alexander of Hales,called doctor irrefragibilis theologorum monarcha franciscan friar theologian important development scholasticism,"['theologian', 'important', 'called', 'development']",
69,Alexandre_Kojève.txt,Alexandre Kojève,russianborn statesman philosophical seminar immense influence 20thcentury particularly integration hegelian concept twentiethcentury continental statesman government instrumental formation european union,"['philosophical', 'influence']",french
70,Alexandre_Koyre.txt,Alexandre Koyre,,[],
71,Alexis_de_Tocqueville.txt,Alexis de Tocqueville,aristocrat diplomat political scientist political historian best known work democracy america old regime revolution analysed improved living standard social condition individual relationship market state western society democracy america published tocqueville travel united state today considered early work sociology political science,"['known', 'work', 'political', 'best', 'social', 'considered', 'early', 'state', 'published', 'united', 'western', 'sociology']",french
72,Alexius_Meinong.txt,Alexius Meinong,austrian realism,[],austrian
73,Alf_Niels_Christian_Ross.txt,Alf Niels Christian Ross,danish jurist legal judge european court human right best known leading figure scandinavian legal realism debate 1959 prominent british legal h l hart – began cambridge law journal – important framing modern conflict legal positivism legal realism,"['known', 'best', 'law', 'important', 'modern', 'british', 'leading', 'prominent', 'legal', 'human', '–', 'cambridge']",danish
74,Alfred_Adler.txt,Alfred Adler,austrian medical doctor psychotherapist founder school individual psychology emphasis importance feeling inferiority inferiority complex recognized isolating element play key role personality development alfred adler considered human individual called psychology individual psychology,"['school', 'considered', 'founder', 'called', 'psychology', 'human', 'role', 'key']",austrian
75,Alfred_Ayer.txt,Alfred Ayer,usually cited j ayer known promotion logical positivism particularly book language truth logic problem knowledge,"['known', 'cited', 'usually']",english
76,Alfred_Binet.txt,Alfred Binet,born psychologist invented practical iq test binet–simon test 1904 ministry education asked psychologist alfred binet devise method determine student did learn effectively regular classroom instruction given remedial work collaborator théodore simon binet published revision test 1908 1911 appeared just death,"['born', 'published', 'psychologist', 'education']",french
77,Alfred_Jules_Émile_Fouillée.txt,Alfred Jules Émile Fouillée,,[],french
78,Alfred_Loisy.txt,Alfred Loisy,roman catholic priest professor theologian generally credited founder modernism roman catholic church critic traditional view interpretation bible argued biblical criticism helpful theological interpretation sacred scripture theological position brought conflict church authority including pope leo xiii pope pius x 1893 dismissed professor institut catholique paris book condemned roman curia 1908 excommunicated,"['professor', 'theologian', 'founder', 'critic', 'catholic', 'roman', 'including']",roman
79,Alfred_North_Whitehead.txt,Alfred North Whitehead,mathematician best known defining figure philosophical school known process today application wide variety discipline including ecology theology education physic biology economics psychology area,"['known', 'school', 'philosophical', 'best', 'figure', 'mathematician', 'including']",english
80,Alfred_Russel_Wallace.txt,Alfred Russel Wallace,british naturalist explorer geographer anthropologist biologist illustrator best known independently conceiving theory evolution natural selection paper subject jointly published charles darwin writing 1858 prompted darwin publish origin specie,"['known', 'theory', 'best', 'british', 'published', 'natural']",british
81,Alfred_Schütz.txt,Alfred Schütz,austrian social phenomenologist work bridged sociological phenomenological tradition schutz gradually recognized 20th century leading social sciencerpxv related edmund husserl work social science using develop philosophical foundation max weber sociology major work phenomenology social world,"['work', 'philosophical', 'social', 'major', 'leading', '20th']",austrian
82,Alfred_Tarski.txt,Alfred Tarski,polishamerican logician mathematician prolific author best known work model theory metamathematics algebraic logic contributed abstract algebra topology geometry measure theory mathematical logic set theory analytic,"['known', 'work', 'best', 'author', 'logician', 'analytic']",polishamerican
83,Allama_Tabatabai.txt,Allama Tabatabai,iranian scholar theorist prominent thinker modern shia islam commonly known allameh tabatabai allameh tabatabai university tehran named,"['known', 'university', 'modern', 'prominent', 'commonly']",iranian
84,Allan_Gibbard.txt,Allan Gibbard,richard b brandt distinguished university professor emeritus university michigan ann arbor gibbard major contribution contemporary ethical theory particular metaethics developed contemporary version noncognitivism published article language metaphysics social choice theory,"['university', 'professor', 'social', 'major', 'published', 'contemporary', 'developed', 'emeritus']",
85,Alonzo_Church.txt,Alonzo Church,mathematician logician major contribution mathematical logic foundation theoretical computer science best known lambda calculus church–turing thesis proving unsolvability entscheidungsproblem frege–church ontology church–rosser theorem worked language alongside alan turing church considered founder computer science,"['known', 'best', 'considered', 'mathematician', 'language', 'major', 'logic', 'church', 'logician', 'worked']",american
86,Alvin_Goldman.txt,Alvin Goldman,emeritus board governor professor cognitive science rutgers university new jersey leading figure epistemology,"['university', 'professor', 'science', 'figure', 'new', 'leading', 'emeritus']",american
87,Alvin_Plantinga.txt,Alvin Plantinga,analytic work primarily field religion epistemology logic,"['epistemology', 'analytic']",american
88,Alyaksandr_Tsvikievich.txt,Alyaksandr Tsvikievich,belorussian politician historian jurist served prime minister belarus year 23 august 1923 october 1925 featured history worked jurist lawyer professor national academy science belarus,"['professor', 'academy', 'jurist', 'served', 'worked', 'minister']",
89,Amartya_Sen.txt,Amartya Sen,indian economist 1972 taught worked united kingdom united state sen contribution welfare economics social choice theory economic social justice economic theory famine decision theory development economics public health measure wellbeing country,"['social', 'development', 'united', 'taught', 'worked', 'indian', 'economist', 'public']",indian
90,Ambrose.txt,Ambrose,venerated efnlangitsantambrogio ipaitˌsantamˈbrɔːdʒo langlmosant ambroeus ipalmoˌsãːt ãˈbrøːs bishop milan theologian influential ecclesiastical figure 4th century,"['influential', 'bishop']",
91,Ammonius_Hermiae.txt,Ammonius Hermiae,alexandria eastern roman empire late antiquity neoplatonist son hermias aedesia brother heliodorus alexandria grandson syrianus ammonius pupil proclus roman athens taught alexandria life having obtained public chair 470s,"['roman', 'taught', 'public', 'late']",roman
92,Ammonius_Saccas.txt,Ammonius Saccas,hellenistic platonist selftaught alexandria generally regarded precursor neoplatonism andor founder mainly known teacher plotinus taught 232 242 undoubtedly biggest influence plotinus development neoplatonism little known philosophical view later christian writer stated ammonius christian generally assumed different ammonius alexandria wrote biblical text,"['known', 'philosophical', 'later', 'wrote', 'influence', 'christian', 'development', 'taught', 'regarded', 'teacher']",hellenistic
93,Amílcar_Cabral.txt,Amílcar Cabral,bissauguinean cape verdean agricultural engineer panafricanist intellectual poet theoretician revolutionary political organizer nationalist diplomat africa foremost anticolonial leader,['political'],
94,Anatoliy_Lunacharskiy.txt,Anatoliy Lunacharskiy,russian marxist revolutionary bolshevik soviet people commissar responsible ministry education active playwright critic essayist journalist career,"['russian', 'marxist', 'revolutionary', 'essayist', 'journalist', 'education', 'active']",soviet
95,Anaxagoras.txt,Anaxagoras,presocratic born clazomenae time asia minor control persian empire anaxagoras came athens according diogenes laërtius plutarch later life charged impiety went exile lampsacus charge political owing association pericles fabricated later ancient biographer,"['born', 'time', 'life', 'later', 'ancient']",persian
96,Anaxarchus.txt,Anaxarchus,school democritus pyrrho accompanied alexander great asia report philosophical view suggest forerunner pyrrhonism aelian writes called eudaemonicus happy man,"['school', 'philosophical', 'called', 'great']",greek
97,Anaximander.txt,Anaximander,presocratic lived miletus city ionia belonged milesian school learned teaching master thales succeeded thales second master school counted anaximenes arguably pythagoras pupil,"['school', 'lived']",greek
98,Anaximenes_of_Miletus.txt,Anaximenes of Miletus,sfnlindberg2007p28 detail life obscure work preserved anaximenes idea known today comment later writer aristotle,"['known', 'work', 'life', 'later']",
99,Anders_Nygren.txt,Anders Nygren,swedish lutheran theologian professor systematic theology lund university 1924 elected bishop lund 1948 best known twovolume work agape eros,"['known', 'work', 'university', 'professor', 'best', 'theology', 'bishop']",swedish
100,Ando_Shoeki.txt,Ando Shoeki,edited bert edström opposed feudalism political shoeki prominent life follower compared belief japan,"['political', 'life', 'prominent']",
101,Andrew_Feenberg.txt,Andrew Feenberg,hold canada research chair technology school communication simon fraser university vancouver main interest technology continental critique technology science technology study,"['university', 'school', 'science', 'research']",american
102,Andrew_Seth_Pringle-Pattison.txt,Andrew Seth Pringle-Pattison,changed 1898 fulfill term bequest scottish,['scottish'],scottish
103,Andronicus_of_Rhodes.txt,Andronicus of Rhodes,rhodes scholarch peripatetic school famous publishing new edition work aristotle form basis text survive todaysfnfalconzalta2013,"['new', 'famous', 'aristotle']",greek
104,André_Gorz.txt,André Gorz,commonly known pen name ipafrʒeʁaʁ ɔʁst ipafrmiʃɛl bɔskɛ austrian social journalist,"['known', 'social', 'commonly']",austrian
105,André_Lalande_(philosopher).txt,André Lalande (philosopher),1904 appointed professor university paris,"['university', 'professor']",french
106,André_Malraux.txt,André Malraux,novelist art theorist minister cultural affair malraux novel la condition humaine won prix goncourt appointed president charles gaulle information minister subsequently france cultural affair minister gaulles presidency,"['art', 'president', 'minister', 'cultural']",french
107,André-Marie_Ampère.txt,André-Marie Ampère,physicist mathematician founder science classical electromagnetism referred electrodynamics inventor numerous application solenoid electrical telegraph autodidact ampère member academy science professor école polytechnique collège france,"['professor', 'science', 'mathematician', 'member', 'academy', 'referred', 'physicist', 'classical']",french
108,Angela_Davis.txt,Angela Davis,political activist academic scholar author professor university california santa cruz marxist davis longtime member communist party usa founding member committee correspondence democracy socialism author book class feminism race prison,"['university', 'political', 'professor', 'author', 'member']",american
109,Anicius_Manlius_Severinus_Boethius.txt,Anicius Manlius Severinus Boethius,roman senator consul magister officiorum early 6th century born year odoacer deposed western roman emperor declared king italy,"['born', 'early', 'year', 'roman', 'western']",roman
110,Ann_Ferguson.txt,Ann Ferguson,professor emerita woman study university massachusetts amherst served amhersts director woman study 1995 2001 known work feminist theory,"['known', 'work', 'university', 'professor', 'served']",american
111,Anna_J._Cooper.txt,Anna J. Cooper,author educator sociologist speaker black liberation activist prominent africanamerican scholar united state history,"['united', 'prominent']",american
112,Anna_Maria_van_Schurman.txt,Anna Maria van Schurman,dutch painter engraver poet scholar best known exceptional learning defence female education highly educated woman excelled art music literature proficient fourteen language including latin hebrew syriac aramaic ethiopic various contemporary european language woman nonofficially study dutch university,"['known', 'best', 'study', 'contemporary', 'including', 'woman']",dutch
113,Anne_Louise_Germaine_de_Staël.txt,Anne Louise Germaine de Staël,commonly known madame staël woman letter political theorist daughter banker finance minister jacques necker voice moderation revolution napoleonic era restoration present estate general 1789 1789 declaration right man citizen intellectual collaboration benjamin constant 1794 1810 celebrated intellectual couple time discovered sooner tyrannical character design napoleon year lived exile – firstly reign terror later personal persecution napoleon,"['known', 'political', 'later', 'intellectual', '–', 'lived', 'commonly', 'woman', 'revolution', 'minister']",french
114,Annette_Baier.txt,Annette Baier,new zealand hume scholar focused particular hume moral psychology known contribution feminist mind strongly influenced colleague wilfrid sellars,"['known', 'new', 'moral', 'influenced']",zealand
115,Anniceris.txt,Anniceris,cyrenaic argued pleasure achieved individual act gratification sought pleasure produce laid great emphasis love family country friendship gratitude provide pleasure demand sacrifice,['great'],cyrenaic
116,Anselm_of_Canterbury.txt,Anselm of Canterbury,called nowrap birthplace nowrap monastery benedictine monk abbot theologian catholic church held office archbishop canterbury 1093 1109 death canonized saint feast day 21 april,"['theologian', 'called', 'catholic', 'held', 'day']",italian
117,Antero_de_Quental.txt,Antero de Quental,portuguese poet writer quental regarded greatest poet generation recognized influential portuguese language artist time mentioned alongside luís vaz camões manuel maria barbosa du bocage fernando pessoa,"['influential', 'language', 'regarded', 'greatest']",portuguese
118,"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury.txt","Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",politician writer,[],english
119,Anthony_Collins.txt,Anthony Collins,proponent deism,[],english
120,Anthony_Kenny.txt,Anthony Kenny,interest lie mind ancient scholastic wittgenstein religion peter geach significant contribution analytical thomism movement aim present thought st thomas aquinas style analytic executor wittgenstein literary estate president british academy royal institute,"['british', 'literary', 'contribution', 'thought', 'ancient', 'movement', 'academy', 'scholastic', 'significant', 'president', 'analytic']",english
121,Anthony_Quinton.txt,Anthony Quinton,british political moral metaphysician materialist mind,"['political', 'british', 'moral']",british
122,Antiochus_of_Ascalon.txt,Antiochus of Ascalon,sfndorandi1999p49 academic pupil philo larissa academy diverged academic skepticism philo predecessor teacher cicero new breed eclectic platonist endeavoured bring doctrine stoic peripatetic platonism stated opposition philo mind distinguish true false doing claimed reviving doctrine old academy began phase known middle platonism,"['known', 'new', 'mind', 'academic', 'teacher']",
