,philosopher,text,preprocess_text,text_clean,tag
10,Abraham_bar_Hiyya_Ha-Nasi.txt,"[('Abraham bar Ḥiyya ha-Nasi', ""{{refn|group=note|Also Ḥayya.<ref>Rapoport, ''Hegyon ha-Nefesh,'' p.&nbsp;63.</ref> Other variants include Abraham ben Chija, Abraham ben Hiyya al-Bargeloni,{{r|JE}} Avraham ben Chiya Hanasi mi'Barcelona,<ref>{{cite journal|title=R' Avraham ben Chiya Hanasi mi'Barcelona|journal=HaMaayan / The Torah Spring|editor-first=Shlomo|editor-last=Katz|volume=XII|number=18|date=14 March 1998|page=4}}</ref> Abraham ben Chiva,{{r|geiger|page=172}} Abraham ben Chaja,{{r|drechsler}}<ref>Allgemeine Enzyklopädie der Wissenschaften  und der Künste, Part 1, Vol. 1, p. 157; Poggendorff’s Handwörterbuch, Volume I, A-L, 1863  Leipzig.</ref> and Rabbi Abrahamo Hispano filio Rabbi Haijae.<ref>{{cite journal|title=Kepler and Hebrew Astronomical Tables|journal=Journal for the History of Astronomy|issn=0021-8286|volume=32|number=107|pages=130–136|year=2001|first=Bernard R.|last=Goldstein|doi=10.1177/002182860103200203|bibcode=2001JHA....32..130G|s2cid=117455118}}</ref>}} ({{Lang-he|ר׳ אַבְרָהָם בַּר חִיָּיא הַנָשִׂיא}}; ""), ('Abraham Savasorda', "",{{refn|group=note|[[Latinisation of names|Latinisation]] of the [[Arabic language|Arabic]] ''[[sahib al-shurta|Ṣāḥib al-Shurṭa]]'' ({{Lang|ar|صاحب الشرطة}}), 'Chief of the Police'.<ref>{{cite book|title=La obra Séfer hešbón mahlekot ha-kokabim de R. Abraham bar Hiyya ha-Bargeloní|first=José M.|last=Millás Vallicrosa|location=Barcelona|publisher=Instituto Arias Montano|year=1959|pages=13–14}}</ref>{{r|geiger|page=290}}}} '''Abraham Albargeloni''', and '''Abraham Judaeus''', was a [[Jew|Catalan Jew]]ish [[mathematician]], [[astronomer]] and [[philosopher]] who resided in [[Barcelona]]."")]",,,[]
11,Abraham_ben_Moses_Maimonides.txt,"[('Abraham Maimonides', ' (אברהם בן רמב""ם; also known as \'\'\'Rabbeinu Avraham ben ha-Rambam\'\'\', and \'\'\'Avraham Maimuni\'\'\') (1186 &ndash; December 7, 1237) was the son of [[Maimonides]] who succeeded his father as [[Nagid]] of the [[Egypt]]ian Jewish community.')]",  was the son of maimonides who succeeded his father as nagid of the egyptian jewish community.,son maimonides succeeded father nagid egyptian jewish community,"['jewish', 'father']"
12,Abraham_ibn_Ezra.txt,"[('Abraham ben Meir Ibn Ezra', ' ({{lang-he|{{Script/Hebrew|ר׳ אַבְרָהָם בֶּן מֵאִיר אִבְּן עֶזְרָא}}}} \'\'ʾAḇrāhām ben Mēʾīr ʾīb[ə]n ʾĒzrāʾ\'\', often abbreviated as {{Script/Hebrew|ראב""ע}}; {{lang-ar|إبراهيم المجيد ابن عزرا}} \'\'Ibrāhim al-Mājid ibn Ezra\'\'; also known as \'\'\'Aben Ezra\'\'\' or simply \'\'\'Ibn Ezra\'\'\', 1089 / 1092 – 27 January 1164 / 23 January 1167)<ref>\'\'Encyclopaedia Judaica\'\', pages 1163–1164</ref><ref name="":2"">\'\'Jewish Encyclopedia\'\' ([http://jewishencyclopedia.com/view.jsp?artid=11&letter=I&search=ibn%20ezra online]); \'\'[[Chambers Biographical Dictionary]]\'\' gives the dates 1092/93 – 1167</ref> was one of the most distinguished [[Jews|Jewish]] biblical commentators and philosophers of the [[Middle Ages]]. He was born in [[Tudela, Navarre|Tudela]] in northern [[Spain]].')]", was one of the most distinguished jewish biblical commentators and philosophers of the middle ages. he was born in tudela in northern spain.,distinguished jewish biblical commentator philosopher middle age born tudela northern spain,"['born', 'jewish']"
13,Abu_Bakr_Muhammad_ibn_Zakariyya_al-Razi.txt,"[('Abū Bakr Muḥammad ibn Zakariyyāʾ al-Rāzī', "" ({{lang-ar|أبو بكر محمد بن زكرياء الرازي}}, also known by his Persianized name '''Rāzī''' and by his [[Latinization (literature)|Latinized]] name '''Rhazes'''), 864 or 865 – 925 or&nbsp;935&nbsp;CE,<ref>For his date of birth, {{harvnb|Kraus|Pines|1913–1936}} give 864 CE / 250 AH ({{harvnb|Goodman|1960–2007}} gives 854 CE / 250 AH, but this is a typo), while {{harvnb|Richter-Bernburg|2003}} and {{harvnb|Adamson|2021}} give 865 CE / 251 AH. For his date of death as 925 or 935 CE / 313 or 323 AH, see Goodman 1960–2007; some sources only give 925 CE / 313 AH ({{harvnb|Walker|1998}}; Richter-Bernburg 2003; {{harvnb|Adamson|2021}}). Richter-Bernburg 2003 consistently refers to him by his Persianized name Rāzī.</ref> was a [[Persians|Persian]] [[Medicine in the medieval Islamic world|physician]], [[Islamic philosophy|philosopher]] and [[Alchemy and chemistry in medieval Islam|alchemist]], widely considered one of the most important figures in the history of medicine.<ref>{{harvnb|Walker|1998}}; {{harvnb|Iskandar|2008}}; {{harvnb|Adamson|2021}}.</ref> He also wrote on [[logic]], [[astronomy]] and [[grammar]].<ref>Majid  Fakhry, ''A  History  of  Islamic  Philosophy: Third  Edition'', Columbia University Press (2004), p. 98.</ref>""), ('Al Hawi', "". It was during this time that I lost my eyesight, my hand became paralyzed, with the result that I am now deprived of reading and writing. Nonetheless, I've never given up, but kept on reading and writing with the help of others. I could make concessions with my opponents and admit some shortcomings, but I am most curious what they have to say about my scientific achievement. If they consider my approach incorrect, they could present their views and state their points clearly, so that I may study them, and if I determined their views to be right, I would admit it. However, if I disagreed, I would discuss the matter to prove my standpoint. If this is not the case, and they merely disagree with my approach and way of life, I would appreciate they only use my written knowledge and stop interfering with my behaviour.</blockquote>"")]","|latinized name , 864 or 865 – 925 or&nbsp;935&nbsp;ce, was a persian physician, philosopher and alchemist, widely considered one of the most important figures in the history of medicine. he also wrote on logic, astronomy and grammar.""",latinized 864 865 – 925 ornbsp935nbspce persian physician philosopher alchemist widely considered important figure history medicine wrote logic astronomy grammar,"['history', 'considered', 'important', 'wrote', 'widely', '–']"
14,Abu_Sulayman_Muhammad_al-Sijistani.txt,"[('Abu Sulayman Muhammad Sijistani', ', ({{lang-fa|ابوسلیمان سجستانی}}) also called al-Mantiqi (the Logician) (c. 912 – c. 985 CE),<ref>{{harvnb|Kraemer|1986|pp=1–2}}.</ref> named for his origins in Sijistan or [[Sistan]] province in present-day Eastern [[Iran]] and Southern [[Afghanistan]], became the leading [[Persian people|Persian]]<ref>{{cite book|last1=Frye|first1=ed. by R.N.|title=The Cambridge history of Iran.|date=1975|publisher=Cambridge U.P.|isbn=978-0-521-20093-6|edition=Repr.|location=London|quote=During the second half of the 10th century the philosophical scene in Baghdad was dominated by a Persian originating from Sistan, Abu Sulaiman al-Sijistanl, entitled Mantiqi.}}</ref> Islamic [[humanism|humanist]] philosopher in [[Baghdad]].')]"," also called al-mantiqi  , named for his origins in sijistan or sistan province in present-day eastern iran and southern afghanistan, became the leading persian islamic humanist philosopher in baghdad.",called almantiqi named origin sijistan sistan province presentday eastern iran southern afghanistan leading persian islamic humanist philosopher baghdad,"['called', 'leading']"
15,Abu'l_Hasan_Muhammad_Ibn_Yusuf_al-'Amiri.txt,"[('Abu al-Hassan Muhammad ibn Yusuf al-Amiri', "" ({{lang-ar|أبو الحسن محمد ابن يوسف العامري}}) (died 992) was a [[Muslim]] theologian and philosopher of [[Arabian people|Arabian]] origin, who attempted to reconcile philosophy with religion, and [[Sufism]] with conventional [[Islam]]. While al-'Amiri believed the revealed truths of Islam were superior to the logical conclusions of philosophy, he argued that the two did not contradict each other. Al-'Amiri consistently sought to find areas of agreement and synthesis between disparate Islamic sects. However, he believed Islam to be morally superior to other religions, notably [[Zoroastrianism]] and [[Manicheism]].<ref>{{Cite web |url=http://www.muslimphilosophy.com/ip/rep/H041 |title=MuslimPhilosophy.com |access-date=2007-10-14 |archive-url=https://web.archive.org/web/20110606174417/http://www.muslimphilosophy.com/ip/rep/H041 |archive-date=2011-06-06 |url-status=dead }}</ref>"")]","  was a muslim theologian and philosopher of arabian origin, who attempted to reconcile philosophy with religion, and sufism with conventional islam. while al-amiri believed the revealed truths of islam were superior to the logical conclusions of philosophy, he argued that the two did not contradict each other. al-amiri consistently sought to find areas of agreement and synthesis between disparate islamic sects. however, he believed islam to be morally superior to other religions, notably zoroastrianism and manicheism.""",muslim theologian philosopher arabian origin attempted reconcile philosophy religion sufism conventional islam alamiri believed revealed truth islam superior logical conclusion philosophy argued did contradict alamiri consistently sought area agreement synthesis disparate islamic sect believed islam morally superior religion notably zoroastrianism manicheism,['theologian']
16,Adam_Ferguson.txt,"[('Adam Ferguson', "", [[Royal Society of Edinburgh|FRSE]] ([[Scottish Gaelic]]: ''Adhamh MacFhearghais''), also known as '''Ferguson of Raith''' (1 July [[Old Style and New Style dates|N.S.]]/20 June O.S. 1723 – 22 February 1816), was a Scottish [[philosopher]] and [[historian]] of the [[Scottish Enlightenment]]."")]",", also known as  , was a scottish philosopher and historian of the scottish enlightenment.""",known scottish philosopher historian scottish enlightenment,"['known', 'historian', 'scottish']"
17,Adam_Smith.txt,[],,,[]
18,Adam_de_Wodeham.txt,"[('Adam of Wodeham', ',<ref>Also known as ""Adam of Wodeham,"" ""Adam Wodeham,"" ""Adam Goddam,"" and ""Adam Woodham.""  John T. Slotemaker and Jeffrey C. Witt (2012), ""Adam de Wodeham"", \'\'Stanford Encyclopedia of Philosophy\'\', http://plato.stanford.edu .  Accessed 2019 February 12.</ref> [[Franciscan|OFM]] (1298–1358) was a philosopher and theologian.<ref>{{cite book|last=Courtenay|first=William J.|title=Adam Wodeham: An Introduction to His Life and Writings|year=1978|publisher=Leiden|location=London|pages=160}}</ref> Currently, Wodeham is best known for having been a secretary of [[William Ockham]]<ref>[[Sum of Logic|\'\'Summa Logicae\'\' (c. 1323)]], [http://www.pvspade.com/Logic/docs/ockham.pdf Prefatory Letter, as translated by Paul Vincent Spade (1995)].</ref> and for his interpretations of [[John Duns Scotus]].<ref>{{cite journal|last=Brower-Toland|first=Susan|title=Facts vs. Things: Adam Wodeham and the Later Medieval Debate About Objects of Judgment|journal=The Review of Metaphysics|date=Dec 2006|volume=60|issue=3|pages=598}}</ref> Despite this associational fame, Wodeham was an influential thinker who made valuable philosophical contributions during his life.')]",", ""adam de wodeham"", \\stanford encyclopedia of philosophy\\, http://plato.stanford.edu .  accessed 2019 february 12. ofm  was a philosopher and theologian. currently, wodeham is best known for having been a secretary of william ockham and for his interpretations of john duns scotus. despite this associational fame, wodeham was an influential thinker who made valuable philosophical contributions during his life.",adam wodeham stanford encyclopedia philosophy httpplatostanfordedu accessed 2019 february 12 ofm philosopher theologian currently wodeham best known having secretary william ockham interpretation john dun scotus despite associational fame wodeham influential thinker valuable philosophical contribution life,"['known', 'influential', 'philosophical', 'best', 'thinker', 'john']"
19,Adelard_of_Bath.txt,"[('Adelard of Bath', ' ({{lang-la|Adelardus Bathensis}}; {{circa}} 1080?{{snd}} {{circa|lk=no}} 1142–1152?) was a 12th-century English natural philosopher. He is known both for his original works and for translating many important [[Arabic]] and [[Greek language|Greek]]<ref>Marion Dolan, \'\'Astronomical Knowledge Transmission Through Illustrated Aratea Manuscripts\'\', (Springer International, 2017), 195.</ref><ref>Thomas B. Noone, \'\'A Companion to Philosophy in the Middle Ages\'\', (Wiley, 2008), 87.</ref> scientific works of [[astrology]], [[astronomy]], [[philosophy]], [[alchemy]] and [[mathematics]] into [[Latin]] from [[Arabic]] versions, which were then introduced to Western Europe. (The oldest surviving Latin translation of Euclid\'s \'\'Elements\'\' is a 12th-century translation by Adelard from an Arabic version.<ref name=""Russell212"">{{cite book |title=A History of Western Philosophy |last=Russell |first=Bertrand |author-link=Bertrand Russell |date=2004 |publisher=[[Routledge]] |isbn=978-0-415-32505-9 |page=212 |url=https://books.google.com/books?id=Ey94E3sOMA0C&q=A+History+of+Western+Philosophy |access-date=30 November 2010}}</ref>)')]"," was a 12th-century english natural philosopher. he is known both for his original works and for translating many important arabic and greek scientific works of astrology, astronomy, philosophy, alchemy and mathematics into latin from arabic versions, which were then introduced to western europe. ",12thcentury english natural philosopher known original work translating important arabic greek scientific work astrology astronomy philosophy alchemy mathematics latin arabic version introduced western europe,"['known', 'english', 'greek', 'important', 'scientific', 'latin', 'natural', 'mathematics', 'western']"
